date	Nord Stream	Ukraine transit	Yamal (via Poland)	TurkStream	total
1-2021	1 193	1 046	770	145	3154
2-2021	1 192	783	769	164	2908
3-2021	1 193	763	783	222	2961
4-2021	1 193	741	803	236	2973
5-2021	1 195	761	804	217	2977
6-2021	1 199	808	795	206	3008
7-2021	1 193	825	797	214	3029
8-2021	1 192	621	695	239	2747
9-2021	1 193	546	654	204	2597
10-2021	1 193	795	760	236	2984
11-2021	1 193	784	746	233	2956
12-2021	1 193	843	770	250	3056
13-2021	1 200	839	766	259	3064
14-2021	1 201	821	769	213	3004
15-2021	1 200	824	669	233	2926
16-2021	1 190	837	719	230	2976
17-2021	1 196	827	769	233	3025
18-2021	1 194	828	770	213	3005
19-2021	1 194	854	771	203	3022
20-2021	1 193	850	770	226	3039
21-2021	1 193	854	771	211	3029
22-2021	1 193	854	770	245	3062
23-2021	1 193	850	768	238	3049
24-2021	1 189	840	701	231	2961
25-2021	1 188	831	767	261	3047
26-2021	1 109	833	768	70	2780
27-2021	1 139	782	767	244	2932
28-2021	1 149	759	426	270	2604
29-2021	151	758	771	269	1949
30-2021	489	758	770	266	2283
31-2021	1 173	755	714	263	2905
32-2021	1 189	752	470	252	2663
33-2021	1 182	743	358	252	2535
34-2021	1 184	736	417	248	2585
35-2021	1 193	733	633	280	2839
36-2021	1 194	647	592	242	2675
37-2021	1 193	619	582	200	2594
38-2021	1 194	660	683	227	2764
39-2021	1 193	673	748	237	2851
40-2021	1 194	659	413	207	2473
41-2021	1 194	691	293	279	2457
42-2021	1 194	682	310	284	2470
43-2021	1 193	672	282	283	2430
44-2021	1 200	652	257	277	2386
45-2021	1 194	622	115	209	2140
46-2021	1 193	812	261	238	2504
47-2021	1 193	850	366	266	2675
48-2021	1 192	845	382	263	2682
49-2021	1 194	785	379	310	2668
50-2021	1 194	775	381	320	2670
51-2021	1 193	788	330	323	2634
52-2021	1 188	691	169	306	2354
53-2021	1 173	594	131	256	2154
1-2022	1 113	285	58	197	1653
2-2022	1 106	306	35	256	1703
3-2022	1 109	261	35	274	1679
4-2022	1 121	422	35	283	1861
5-2022	1 184	519	156	286	2145
6-2022	1 177	383	157	275	1992
7-2022	1 141	291	160	277	1869
8-2022	1 177	519	190	304	2190
9-2022	1 193	697	332	307	2529
10-2022	1 193	694	361	293	2541
11-2022	1 045	647	192	287	2171
12-2022	1 115	676	162	277	2230
13-2022	1 194	707	212	257	2370
14-2022	1 193	653	172	229	2247
15-2022	1 194	463	136	229	2022
16-2022	1 192	346	124	214	1876
17-2022	1 183	446	31	182	1842
18-2022	1 194	665	91	245	2195
19-2022	1 194	503	11	229	1937
20-2022	1 194	359	0	178	1731
21-2022	1 191	300	0	158	1649
22-2022	1 140	284	0	159	1583
23-2022	1 041	285	0	162	1488
24-2022	589	281	0	195	1065
25-2022	478	280	0	34	792
26-2022	478	282	0	229	989
27-2022	478	274	0	256	1008
28-2022	6	272	0	317	595
29-2022	271	274	0	323	868
30-2022	301	268	0	321	890
31-2022	234	261	0	289	784
32-2022	236	263	0	293	792
33-2022	236	266	0	316	818
34-2022	236	270	0	317	823
35-2022	62	266	0	301	629
36-2022	0	270	0	281	551
37-2022	0	268	0	293	561
38-2022	0	268	0	263	531
39-2022	0	272	0	221	493
40-2022	0	268	0	214	482
41-2022	0	273	0	245	518
42-2022	0	254	0	247	501
43-2022	0	209	0	225	434
44-2022	0	207	0	186	393
45-2022	0	239	0	211	450
46-2022	0	327	0	214	541
47-2022	0	321	0	222	543
48-2022	0	314	0	290	604
49-2022	0	329	0	328	657
50-2022	0	352	0	305	657
51-2022	0	285	0	230	515
52-2022	0	276	0	202	478
