time,tavg,tmin,tmax,y,day
1962-10-01,16.6,14.3,19.7,1962,1.0
1962-10-02,15.3,14.1,17.2,1962,2.0
1962-10-03,15.2,12.3,19.4,1962,3.0
1962-10-04,13.4,10.4,17.9,1962,4.0
1962-10-05,13.6,7.3,20.8,1962,5.0
1962-10-06,12.5,9.2,16.2,1962,6.0
1962-10-07,14.3,9.3,21.2,1962,7.0
1962-10-08,11.2,8.6,15.9,1962,8.0
1962-10-09,11.1,8.3,13.9,1962,9.0
1962-10-10,11.7,10.5,13.8,1962,10.0
1962-10-11,11.4,8.8,16.6,1962,11.0
1962-10-12,10.8,6.3,18.2,1962,12.0
1962-10-13,6.1,2.5,11.4,1962,13.0
1962-10-14,7.2,1.9,14.7,1962,14.0
1962-10-15,8.8,4.5,11.6,1962,15.0
1962-10-16,2.8,-1.5,9.1,1962,16.0
1962-10-17,5.9,0.5,12.8,1962,17.0
1962-10-18,7.5,3.4,11.2,1962,18.0
1962-10-19,10.6,8.4,13.8,1962,19.0
1962-10-20,7.2,5.7,10.7,1962,20.0
1962-10-21,6.4,1.7,10.2,1962,21.0
1962-10-22,8.6,5.9,13.4,1962,22.0
1962-10-23,8.0,6.4,9.8,1962,23.0
1962-10-24,6.8,6.0,8.5,1962,24.0
1962-10-25,7.1,4.9,11.9,1962,25.0
1962-10-26,6.6,1.7,13.6,1962,26.0
1962-10-27,6.8,2.2,13.8,1962,27.0
1962-10-28,10.5,7.2,14.9,1962,28.0
1962-10-29,8.8,6.3,12.0,1962,29.0
1962-10-30,9.3,8.6,10.8,1962,30.0
1962-10-31,8.6,7.8,9.6,1962,31.0
1962-11-01,12.2,8.6,17.0,1962,32.0
1962-11-02,11.0,10.3,15.0,1962,33.0
1962-11-03,8.1,5.0,11.7,1962,34.0
1962-11-04,5.4,1.1,10.5,1962,35.0
1962-11-05,4.6,-0.1,10.0,1962,36.0
1962-11-06,5.2,0.9,10.2,1962,37.0
1962-11-07,3.9,-0.6,9.2,1962,38.0
1962-11-08,5.0,0.9,11.0,1962,39.0
1962-11-09,4.8,0.7,9.2,1962,40.0
1962-11-10,2.8,1.4,6.5,1962,41.0
1962-11-11,2.1,1.3,3.7,1962,42.0
1962-11-12,0.2,-2.5,3.0,1962,43.0
1962-11-13,0.5,-1.3,2.2,1962,44.0
1962-11-14,-0.1,-1.5,2.4,1962,45.0
1962-11-15,1.0,-0.1,2.0,1962,46.0
1962-11-16,4.9,1.5,7.0,1962,47.0
1962-11-17,4.2,1.3,10.1,1962,48.0
1962-11-18,0.7,-1.5,2.7,1962,49.0
1962-11-19,2.9,0.7,4.6,1962,50.0
1962-11-20,8.6,4.3,11.6,1962,51.0
1962-11-21,9.0,7.2,10.7,1962,52.0
1962-11-22,9.8,5.9,13.8,1962,53.0
1962-11-23,5.0,2.2,6.8,1962,54.0
1962-11-24,6.7,5.4,7.7,1962,55.0
1962-11-25,7.6,6.8,9.2,1962,56.0
1962-11-26,7.6,6.7,9.2,1962,57.0
1962-11-27,6.6,5.5,8.3,1962,58.0
1962-11-28,8.0,7.3,9.4,1962,59.0
1962-11-29,4.1,3.4,7.8,1962,60.0
1962-11-30,4.6,3.9,5.9,1962,61.0
1962-12-01,0.4,-1.4,5.0,1962,62.0
1962-12-02,-1.9,-4.6,0.2,1962,63.0
1962-12-03,-0.9,-2.6,2.7,1962,64.0
1962-12-04,-1.3,-3.6,2.8,1962,65.0
1962-12-05,-0.8,-3.3,0.5,1962,66.0
1962-12-06,1.3,-0.4,2.4,1962,67.0
1962-12-07,1.8,0.3,2.8,1962,68.0
1962-12-08,1.8,0.1,3.0,1962,69.0
1962-12-09,0.8,-0.3,2.8,1962,70.0
1962-12-10,0.4,-1.6,3.7,1962,71.0
1962-12-11,-0.3,-1.8,1.0,1962,72.0
1962-12-12,1.8,-1.0,4.9,1962,73.0
1962-12-13,0.2,-2.7,4.0,1962,74.0
1962-12-14,5.0,2.9,6.9,1962,75.0
1962-12-15,2.4,-0.2,6.2,1962,76.0
1962-12-16,0.6,-0.7,1.2,1962,77.0
1962-12-17,1.5,0.4,2.3,1962,78.0
1962-12-18,-0.2,-1.3,2.0,1962,79.0
1962-12-19,-1.6,-3.3,-0.2,1962,80.0
1962-12-20,-9.2,-11.5,-2.8,1962,81.0
1962-12-21,-9.9,-11.6,-8.3,1962,82.0
1962-12-22,-10.4,-12.1,-8.7,1962,83.0
1962-12-23,-9.0,-9.9,-8.1,1962,84.0
1962-12-24,-8.4,-9.7,-7.5,1962,85.0
1962-12-25,-10.3,-11.7,-8.5,1962,86.0
1962-12-26,-10.4,-13.0,-9.1,1962,87.0
1962-12-27,-7.3,-9.4,-6.0,1962,88.0
1962-12-28,-7.4,-9.0,-6.0,1962,89.0
1962-12-29,-11.7,-15.5,-7.5,1962,90.0
1962-12-30,-4.0,-12.8,1.2,1962,91.0
1962-12-31,-6.2,-11.2,1.2,1962,92.0
1963-01-01,-15.8,-19.1,-11.1,1962,93.0
1963-01-02,-16.1,-18.6,-14.6,1962,94.0
1963-01-03,-14.9,-17.6,-10.5,1962,95.0
1963-01-04,-12.2,-13.7,-11.5,1962,96.0
1963-01-05,-8.5,-13.0,-5.0,1962,97.0
1963-01-06,-2.2,-5.6,0.7,1962,98.0
1963-01-07,-0.4,-3.8,2.2,1962,99.0
1963-01-08,-1.2,-5.2,1.8,1962,100.0
1963-01-09,-9.2,-11.3,-4.4,1962,101.0
1963-01-10,-12.0,-13.6,-8.9,1962,102.0
1963-01-11,-13.2,-15.0,-11.0,1962,103.0
1963-01-12,-13.7,-15.6,-12.1,1962,104.0
1963-01-13,-18.2,-19.8,-15.3,1962,105.0
1963-01-14,-16.1,-19.6,-13.5,1962,106.0
1963-01-15,-15.0,-19.1,-11.1,1962,107.0
1963-01-16,-14.8,-18.6,-12.1,1962,108.0
1963-01-17,-15.6,-17.9,-13.9,1962,109.0
1963-01-18,-15.4,-17.7,-13.1,1962,110.0
1963-01-19,-15.6,-19.1,-11.7,1962,111.0
1963-01-20,-10.0,-15.1,-7.0,1962,112.0
1963-01-21,-14.8,-18.0,-9.8,1962,113.0
1963-01-22,-16.3,-18.1,-14.1,1962,114.0
1963-01-23,-17.5,-21.2,-11.6,1962,115.0
1963-01-24,-15.8,-19.1,-9.7,1962,116.0
1963-01-25,-16.6,-20.1,-11.7,1962,117.0
1963-01-26,-14.8,-19.6,-10.6,1962,118.0
1963-01-27,-11.7,-13.2,-8.9,1962,119.0
