time,tavg,tmin,tmax,y,day
1991-10-01,21.4,17.3,26.5,1991,1.0
1991-10-02,19.4,16.2,26.2,1991,2.0
1991-10-03,14.0,10.8,16.4,1991,3.0
1991-10-04,11.8,9.9,14.0,1991,4.0
1991-10-05,11.6,7.1,16.2,1991,5.0
1991-10-06,12.7,7.4,20.6,1991,6.0
1991-10-07,15.8,9.5,23.6,1991,7.0
1991-10-08,16.0,10.7,22.8,1991,8.0
1991-10-09,14.9,10.0,21.0,1991,9.0
1991-10-10,11.7,6.3,18.0,1991,10.0
1991-10-11,10.4,5.0,16.7,1991,11.0
1991-10-12,9.7,3.6,17.3,1991,12.0
1991-10-13,8.9,4.9,12.0,1991,13.0
1991-10-14,12.3,10.8,14.4,1991,14.0
1991-10-15,14.9,9.7,20.3,1991,15.0
1991-10-16,14.3,11.9,18.0,1991,16.0
1991-10-17,15.1,13.4,17.2,1991,17.0
1991-10-18,13.5,10.9,17.5,1991,18.0
1991-10-19,12.0,9.1,15.7,1991,19.0
1991-10-20,12.1,8.8,15.8,1991,20.0
1991-10-21,10.6,8.9,15.4,1991,21.0
1991-10-22,6.4,4.0,9.8,1991,22.0
1991-10-23,4.6,3.1,6.3,1991,23.0
1991-10-24,2.7,1.2,3.7,1991,24.0
1991-10-25,1.7,0.5,3.0,1991,25.0
1991-10-26,1.2,-0.1,1.9,1991,26.0
1991-10-27,1.5,0.6,2.2,1991,27.0
1991-10-28,0.3,-0.6,1.5,1991,28.0
1991-10-29,0.6,-0.4,1.1,1991,29.0
1991-10-30,0.8,-0.2,2.9,1991,30.0
1991-10-31,0.3,-0.4,1.4,1991,31.0
1991-11-01,-0.8,-2.1,-0.0,1991,32.0
1991-11-02,-1.9,-5.0,2.1,1991,33.0
1991-11-03,-2.8,-6.6,1.8,1991,34.0
1991-11-04,-1.4,-4.7,2.0,1991,35.0
1991-11-05,3.3,1.3,6.6,1991,36.0
1991-11-06,4.9,3.5,6.2,1991,37.0
1991-11-07,5.0,3.6,6.8,1991,38.0
1991-11-08,3.7,2.1,8.2,1991,39.0
1991-11-09,8.3,3.7,12.8,1991,40.0
1991-11-10,3.8,1.8,7.7,1991,41.0
1991-11-11,3.9,2.5,5.8,1991,42.0
1991-11-12,2.6,0.1,5.0,1991,43.0
1991-11-13,3.7,3.3,4.7,1991,44.0
1991-11-14,4.2,1.6,7.8,1991,45.0
1991-11-15,7.8,5.6,9.3,1991,46.0
1991-11-16,8.3,8.0,9.0,1991,47.0
1991-11-17,7.8,6.9,8.5,1991,48.0
1991-11-18,3.1,1.2,7.4,1991,49.0
1991-11-19,1.3,0.6,2.4,1991,50.0
1991-11-20,2.6,1.1,4.4,1991,51.0
1991-11-21,3.6,1.6,5.7,1991,52.0
1991-11-22,5.3,3.7,7.2,1991,53.0
1991-11-23,4.2,3.4,5.2,1991,54.0
1991-11-24,6.2,3.6,8.5,1991,55.0
1991-11-25,5.7,4.3,7.5,1991,56.0
1991-11-26,3.0,2.4,4.4,1991,57.0
1991-11-27,1.1,0.3,2.5,1991,58.0
1991-11-28,0.5,-0.6,1.0,1991,59.0
1991-11-29,1.7,-0.9,2.7,1991,60.0
1991-11-30,2.5,1.1,4.3,1991,61.0
1991-12-01,2.2,0.7,4.1,1991,62.0
1991-12-02,0.5,-0.9,2.0,1991,63.0
1991-12-03,2.0,1.3,2.5,1991,64.0
1991-12-04,-0.6,-1.7,1.4,1991,65.0
1991-12-05,1.0,-0.4,2.7,1991,66.0
1991-12-06,-3.4,-7.6,0.7,1991,67.0
1991-12-07,-9.5,-11.1,-7.3,1991,68.0
1991-12-08,-11.0,-12.5,-9.7,1991,69.0
1991-12-09,-12.8,-15.1,-10.0,1991,70.0
1991-12-10,-8.7,-13.6,-3.5,1991,71.0
1991-12-11,-0.9,-3.7,-0.1,1991,72.0
1991-12-12,0.3,-0.6,1.5,1991,73.0
1991-12-13,-0.4,-3.6,1.8,1991,74.0
1991-12-14,1.9,-0.7,3.4,1991,75.0
1991-12-15,3.2,0.3,6.0,1991,76.0
1991-12-16,2.3,-0.3,4.6,1991,77.0
1991-12-17,0.5,-0.3,2.3,1991,78.0
1991-12-18,-0.5,-2.0,0.9,1991,79.0
1991-12-19,0.2,-0.8,1.5,1991,80.0
1991-12-20,-1.1,-1.6,-0.4,1991,81.0
1991-12-21,0.3,-1.3,0.8,1991,82.0
1991-12-22,0.7,0.3,1.1,1991,83.0
1991-12-23,-0.4,-2.3,1.1,1991,84.0
1991-12-24,-0.4,-2.3,2.1,1991,85.0
1991-12-25,1.6,0.2,2.7,1991,86.0
1991-12-26,-3.7,-6.0,0.5,1991,87.0
1991-12-27,-6.5,-9.9,-4.0,1991,88.0
1991-12-28,-7.4,-8.8,-6.1,1991,89.0
1991-12-29,-6.6,-10.0,-3.0,1991,90.0
1991-12-30,1.5,-3.2,3.6,1991,91.0
1991-12-31,0.1,-0.5,1.7,1991,92.0
1992-01-01,-4.2,-7.6,-0.0,1991,93.0
1992-01-02,-1.3,-7.6,3.0,1991,94.0
1992-01-03,3.2,1.6,3.8,1991,95.0
1992-01-04,3.5,1.6,5.5,1991,96.0
1992-01-05,3.4,2.6,4.3,1991,97.0
1992-01-06,1.4,-0.3,2.8,1991,98.0
1992-01-07,0.3,-0.8,1.8,1991,99.0
1992-01-08,4.4,1.1,7.0,1991,100.0
1992-01-09,4.5,2.7,7.5,1991,101.0
1992-01-10,4.0,1.0,6.0,1991,102.0
1992-01-11,0.2,-1.8,1.7,1991,103.0
1992-01-12,1.5,-0.4,3.4,1991,104.0
1992-01-13,0.2,-3.1,2.8,1991,105.0
1992-01-14,-4.3,-7.6,-2.2,1991,106.0
1992-01-15,0.3,-3.2,2.8,1991,107.0
1992-01-16,3.7,2.6,4.9,1991,108.0
1992-01-17,2.2,-0.2,3.7,1991,109.0
1992-01-18,-3.8,-5.6,0.1,1991,110.0
1992-01-19,-6.2,-8.1,-2.5,1991,111.0
1992-01-20,-9.3,-10.7,-6.3,1991,112.0
1992-01-21,-9.5,-13.1,-6.5,1991,113.0
1992-01-22,-4.7,-9.3,-0.5,1991,114.0
1992-01-23,0.6,-0.8,1.9,1991,115.0
1992-01-24,-0.6,-1.9,1.0,1991,116.0
1992-01-25,-3.7,-5.2,-1.8,1991,117.0
1992-01-26,-6.1,-7.6,-4.7,1991,118.0
1992-01-27,-5.0,-8.6,-2.4,1991,119.0
1992-01-28,-0.8,-2.6,1.0,1991,120.0
1992-01-29,2.3,0.9,3.5,1991,121.0
1992-01-30,-0.0,-1.4,3.1,1991,122.0
1992-01-31,-1.5,-2.5,-0.5,1991,123.0
1992-02-01,-2.6,-4.4,-1.3,1991,124.0
1992-02-02,-2.5,-5.4,1.5,1991,125.0
1992-02-03,-0.3,-1.4,0.3,1991,126.0
1992-02-04,0.4,-1.9,3.5,1991,127.0
1992-02-05,0.6,-0.5,1.6,1991,128.0
1992-02-06,-1.5,-3.0,1.0,1991,129.0
1992-02-07,-3.1,-4.2,-1.8,1991,130.0
1992-02-08,-2.5,-4.2,-0.0,1991,131.0
1992-02-09,-3.3,-7.8,-0.2,1991,132.0
1992-02-10,1.2,-0.4,3.2,1991,133.0
1992-02-11,0.1,-2.6,2.5,1991,134.0
1992-02-12,2.1,-0.4,4.4,1991,135.0
1992-02-13,1.5,-2.0,4.6,1991,136.0
1992-02-14,1.6,-0.5,4.5,1991,137.0
1992-02-15,3.2,1.8,5.5,1991,138.0
1992-02-16,4.0,2.0,6.3,1991,139.0
1992-02-17,2.5,1.1,4.6,1991,140.0
1992-02-18,-4.9,-8.1,1.8,1991,141.0
1992-02-19,-4.6,-6.9,-1.3,1991,142.0
1992-02-20,-6.4,-8.6,-3.9,1991,143.0
1992-02-21,-5.1,-7.6,-2.2,1991,144.0
1992-02-22,-9.3,-13.3,-5.9,1991,145.0
1992-02-23,-6.6,-12.2,-0.6,1991,146.0
1992-02-24,1.9,-2.4,5.3,1991,147.0
1992-02-25,2.5,1.4,4.5,1991,148.0
1992-02-26,2.5,0.1,5.3,1991,149.0
1992-02-27,2.8,-0.5,6.8,1991,150.0
1992-02-28,2.7,1.3,4.2,1991,151.0
1992-02-29,1.8,0.6,2.9,1991,152.0
1992-03-01,3.8,2.5,5.4,1991,153.0
1992-03-02,6.5,2.6,11.8,1991,154.0
1992-03-03,6.4,4.0,9.6,1991,155.0
1992-03-04,4.0,2.7,7.4,1991,156.0
1992-03-05,2.9,2.0,4.5,1991,157.0
1992-03-06,2.5,1.5,3.5,1991,158.0
1992-03-07,2.3,1.2,3.6,1991,159.0
1992-03-08,2.6,1.6,3.9,1991,160.0
1992-03-09,4.3,1.3,9.0,1991,161.0
1992-03-10,4.0,-2.0,9.1,1991,162.0
1992-03-11,4.8,0.3,9.7,1991,163.0
1992-03-12,2.2,0.2,5.3,1991,164.0
1992-03-13,3.9,-0.0,9.7,1991,165.0
1992-03-14,5.5,2.6,9.6,1991,166.0
1992-03-15,2.3,0.5,5.9,1991,167.0
1992-03-16,0.5,-1.7,2.6,1991,168.0
1992-03-17,0.5,-3.8,5.5,1991,169.0
1992-03-18,0.8,-1.6,3.8,1991,170.0
1992-03-19,1.1,-1.0,2.9,1991,171.0
1992-03-20,3.7,2.3,5.4,1991,172.0
1992-03-21,5.0,3.6,7.1,1991,173.0
1992-03-22,5.0,-0.3,11.0,1991,174.0
1992-03-23,5.5,2.7,10.6,1991,175.0
1992-03-24,5.4,1.1,10.9,1991,176.0
1992-03-25,10.3,6.3,16.0,1991,177.0
1992-03-26,10.2,7.0,14.0,1991,178.0
1992-03-27,13.9,7.3,20.6,1991,179.0
1992-03-28,10.3,8.7,16.2,1991,180.0
1992-03-29,6.2,3.7,9.3,1991,181.0
1992-03-30,4.2,2.1,6.4,1991,182.0
1992-03-31,5.1,1.2,9.0,1991,183.0
1992-10-01,10.1,7.7,14.7,1992,1.0
1992-10-02,10.2,8.4,14.5,1992,2.0
1992-10-03,8.0,3.9,12.3,1992,3.0
1992-10-04,8.1,5.6,12.5,1992,4.0
1992-10-05,8.0,3.6,13.8,1992,5.0
1992-10-06,8.4,3.4,15.3,1992,6.0
1992-10-07,12.1,9.1,15.4,1992,7.0
1992-10-08,9.4,7.6,15.5,1992,8.0
1992-10-09,8.9,6.4,12.2,1992,9.0
1992-10-10,8.8,6.7,12.4,1992,10.0
1992-10-11,5.3,0.5,10.9,1992,11.0
1992-10-12,7.1,3.6,9.0,1992,12.0
1992-10-13,0.7,-0.9,4.2,1992,13.0
1992-10-14,1.2,-3.9,7.4,1992,14.0
1992-10-15,5.2,0.1,9.5,1992,15.0
1992-10-16,6.8,4.5,9.3,1992,16.0
1992-10-17,10.4,8.5,15.1,1992,17.0
1992-10-18,15.0,9.2,22.1,1992,18.0
1992-10-19,10.3,6.2,17.9,1992,19.0
1992-10-20,6.7,3.1,11.5,1992,20.0
1992-10-21,7.3,6.1,8.9,1992,21.0
1992-10-22,11.3,8.1,14.8,1992,22.0
1992-10-23,6.9,5.2,9.7,1992,23.0
1992-10-24,3.8,2.5,6.6,1992,24.0
1992-10-25,3.8,-0.1,9.0,1992,25.0
1992-10-26,4.4,3.2,6.3,1992,26.0
1992-10-27,2.4,1.2,3.9,1992,27.0
1992-10-28,3.0,1.2,5.3,1992,28.0
1992-10-29,10.2,4.4,16.2,1992,29.0
1992-10-30,9.5,5.3,16.2,1992,30.0
1992-10-31,6.5,5.2,8.3,1992,31.0
1992-11-01,4.0,1.6,6.4,1992,32.0
1992-11-02,2.0,-0.8,4.3,1992,33.0
1992-11-03,7.8,3.8,11.2,1992,34.0
1992-11-04,9.0,6.1,11.1,1992,35.0
1992-11-05,5.6,3.2,7.0,1992,36.0
1992-11-06,4.9,3.3,7.0,1992,37.0
1992-11-07,3.5,0.6,9.8,1992,38.0
1992-11-08,7.5,2.6,10.4,1992,39.0
1992-11-09,-0.1,-1.4,3.1,1992,40.0
1992-11-10,-1.0,-2.3,1.2,1992,41.0
1992-11-11,-2.8,-6.1,-0.4,1992,42.0
1992-11-12,0.9,-1.9,3.1,1992,43.0
1992-11-13,2.5,1.1,5.6,1992,44.0
1992-11-14,2.7,1.3,5.2,1992,45.0
1992-11-15,1.4,0.3,2.6,1992,46.0
1992-11-16,2.7,1.2,6.1,1992,47.0
1992-11-17,6.8,3.5,11.2,1992,48.0
1992-11-18,8.3,5.6,12.6,1992,49.0
1992-11-19,6.9,5.0,9.5,1992,50.0
1992-11-20,5.2,3.5,7.6,1992,51.0
1992-11-21,2.4,0.6,4.2,1992,52.0
1992-11-22,2.0,1.1,3.4,1992,53.0
1992-11-23,1.5,0.6,2.6,1992,54.0
1992-11-24,-3.2,-6.0,1.1,1992,55.0
1992-11-25,-3.3,-6.2,-0.5,1992,56.0
1992-11-26,2.3,-0.6,4.6,1992,57.0
1992-11-27,5.4,3.1,6.8,1992,58.0
1992-11-28,1.2,-0.2,3.1,1992,59.0
